ID?,Is Managed,Manufacturer,Model,Serial Number,IP Address,Mac Address,Firmware Version 1,First Audit Date,Last Audit Date,Total Pages,Total Pages Mono,Total Pages Color,CPP BW,CPP Color,Total Cost Mono,TCM/Day,Total Cost Color,TCC/Day,Total Cost,Total Cost / Day,Location IP,Location
3,TRUE,HP,Color LaserJet CP2025dn,CNGS705845,10.157.59.52,44-1E-A1-2F-8B-74,owl.rom.21,10/9/18 13:17,10/10/19 13:18,49522,16419,33103,0.0258,0.1117,423.6102,1.157402649,3697.6051,10.10272637,4121.2153,11.26012902,59,Tabernacle
4,FALSE,HP,Color LaserJet CP3505,CNBC82M3P8,10.157.49.25,00-1E-0B-0A-D7-64,03.018.5,10/9/18 5:17,10/10/19 13:18,172800,105081,67719,0.0256,0.1046,2690.0736,7.3432289,7083.4074,19.33593264,9773.481,26.67916154,49,Branch 49
6,FALSE,HP,Color LaserJet M553,JPBCK9309F,10.157.47.54,F4-30-B9-F5-42-FB,2308214_000907,10/9/18 13:17,10/10/19 13:18,7162,2530,4632,0.017,0.0642,43.01,0.117513431,297.3744,0.812496768,340.3844,0.930010199,47,North Logan
7,FALSE,HP,Color LaserJet M553,JPBCK9V0Y8,10.157.54.59,18-60-24-C7-EE-34,2308214_000907,9/10/19 14:42,10/10/19 13:18,8786,5033,3753,0.017,0.0642,85.561,2.857558829,240.9426,8.046979978,326.5036,10.90453881,54,Bountful
8,FALSE,HP,Color LaserJet M553,JPBCK9V0YD,10.157.44.57,18-60-24-C7-EE-A9,2308214_000907,10/9/18 13:17,10/10/19 13:18,3418,529,2889,0.017,0.0642,8.993,0.02457099,185.4738,0.506758023,194.4668,0.531329013,44,Layton
9,FALSE,HP,Color LaserJet M553,JPCCL25272,10.157.55.56,AC-E2-D3-DA-AD-1B,2308937_578487,3/29/19 17:17,10/10/19 13:18,319,31,288,0.017,0.0642,0.527,0.002704864,18.4896,0.094899138,19.0166,0.097604002,55,Price
10,FALSE,HP,Color LaserJet M553,JPCCL650Y7,10.157.16.52,B4-B6-86-7D-13-B0,2308937_578487,9/10/19 14:42,10/10/19 13:18,248,78,170,0.017,0.0642,1.326,0.044285633,10.914,0.364504822,12.24,0.408790455,16,Mortgage
11,FALSE,HP,Color LaserJet M553,JPCCL650YG,10.157.44.51,B4-B6-86-7D-F1-CD,2308937_578487,1/8/19 17:17,10/10/19 13:18,23665,17332,6333,0.017,0.0642,294.644,1.072080307,406.5786,1.47936123,701.2226,2.551441537,44,Layton
12,TRUE,HP,Color LaserJet M553,JPCCM4R16K,10.157.49.94,C4-65-16-E0-C4-9E,2309010_581409,7/26/19 13:17,10/7/19 13:18,1509,714,795,0.017,0.0642,12.138,0.166272549,51.039,0.699158398,63.177,0.865430947,49,Branch 49
13,FALSE,HP,Color LaserJet MFP M577,MXCCM5Z1SZ,10.157.16.53,9C-7B-EF-8E-FD-A8,2309015_581593,9/10/19 14:42,10/10/19 13:18,15564,8599,6965,0.017,0,146.183,4.882207107,0,0,146.183,4.882207107,16,Mortgage
14,TRUE,HP,LaserJet 400 color M451dw,CNDF510615,10.157.49.84,28-80-23-15-53-1F,plslx232:/local/sandbox/romreleases/thunderbird,10/9/18 13:17,10/10/19 13:18,49113,21301,27812,0.0256,0.1362,545.3056,1.48990309,3787.9944,10.34969118,4333.3,11.83959427,49,Branch 49
15,FALSE,HP,LaserJet 400 color M451dw,CNDF609229,10.157.49.119,28-80-23-15-43-CA,leslevm14:/local/sandbox/romreleases/thunderbir,10/9/18 13:17,10/10/19 13:18,30640,6870,23770,0.0256,0.1362,175.872,0.480523648,3237.474,8.845540034,3413.346,9.326063682,49,Branch 49
16,FALSE,HP,LaserJet 400 color M451dw,CNDF609236,10.157.47.54,28-80-23-15-43-73,leslevm14:/local/sandbox/romreleases/thunderbir,10/9/18 13:17,8/8/19 13:18,36761,14835,21926,0.0256,0.1362,379.776,1.253383362,2986.3212,9.855823709,3366.0972,11.10920707,47,North Logan
17,FALSE,HP,LaserJet 400 color M451dw,CNDF609240,10.157.57.55,28-80-23-15-53-F6,leslevm14:/local/sandbox/romreleases/thunderbir,10/9/18 13:17,10/10/19 13:18,3309,589,2720,0.0256,0.1362,15.0784,0.041197733,370.464,1.012194737,385.5424,1.05339247,57,Ephraim
18,FALSE,HP,LaserJet 400 color M451dw,CNDF609241,10.157.49.83,28-80-23-15-43-60,plslx232:/local/sandbox/romreleases/thunderbird,10/9/18 13:17,10/10/19 13:18,13254,6984,6270,0.0256,0.1362,178.7904,0.488497403,853.974,2.33325772,1032.7644,2.821755123,49,Branch 49
19,FALSE,HP,LaserJet 400 M401dn,VNB4F01148,10.157.55.52,80-C1-6E-94-0E-D7,plslx230:/local/sandbox/romreleases/taishan1.6.,10/9/18 9:17,10/10/19 13:18,25822,25822,0,0.0153,0,395.0766,1.078950992,0,0,395.0766,1.078950992,55,Price
20,TRUE,HP,LaserJet 400 M401dn,VNG3B01833,10.157.59.61,2C-59-E5-78-B5-0E,plslx07:/local/sandbox/romreleases/taishan1.6.r,10/9/18 13:17,10/10/19 13:18,84979,84979,0,0.0153,0,1300.1787,3.552393855,0,0,1300.1787,3.552393855,59,Tabernacle
21,FALSE,HP,LaserJet 400 M401dn,VNG3B01834,10.157.51.50,2C-59-E5-78-A5-BA,plslx07:/local/sandbox/romreleases/taishan1.6.r,10/9/18 21:17,10/10/19 13:18,48206,48206,0,0.0153,0,737.5518,2.017002642,0,0,737.5518,2.017002642,51,Fairview
22,FALSE,HP,LaserJet 400 M401dn,VNG3B01836,10.157.56.50,2C-59-E5-78-A5-B8,plslx07:/local/sandbox/romreleases/taishan1.6.r,10/9/18 9:17,10/10/19 13:18,45757,45757,0,0.0153,0,700.0821,1.91191854,0,0,700.0821,1.91191854,56,Nephi
23,TRUE,HP,LaserJet 400 M401dn,VNG4C00944,10.157.52.53,2C-59-E5-D7-17-78,plslx07:/local/sandbox/romreleases/taishan1.6.r,10/9/18 9:17,10/10/19 13:18,96527,96527,0,0.0153,0,1476.8631,4.033301154,0,0,1476.8631,4.033301154,52,Mt Pleasant
